Elevation,Slope,Aspect,Curvature,rainfall_2019,landslide
1279.8134,39.54226,256.65387,-0.002582029,1363.3123,1
1963.4044,45.44012,70.46243,0.01041602,1327.5286,1
2036.2544,33.795876,320.83694,0.0054380754,1122.1057,1
914.4612,48.35108,127.37024,0.009192953,1363.3123,1
1417.1816,28.220364,237.30371,0.004414223,1186.2649,1
1759.9192,48.402824,348.4503,0.0064028082,975.15594,1
2041.1738,42.218548,337.1513,0.010642155,975.15594,1
1983.6973,42.60905,341.42853,-0.008647143,975.15594,1
1656.9445,43.218315,317.79132,-0.009402255,975.15594,1
2577.6138,36.846767,91.02692,-0.006142754,1282.8268,1
3326.3542,24.538958,36.504425,-0.010102554,975.15594,1
922.2302,45.60867,1.3222961,-0.00077047385,1363.3123,1
1002.5955,64.165924,342.4355,-0.0045148707,1363.3123,1
1638.228,49.477215,334.52228,-0.009296725,1424.1086,1
1989.0481,35.449646,278.46423,-0.009134231,1282.8268,1
1070.2445,40.239765,162.31873,0.005418477,1584.2975,1
2215.469,46.038322,301.6926,0.008186512,1188.5122,1
1862.0544,33.695652,106.527954,0.009883382,1188.5122,1
4139.9585,36.563854,271.6192,0.0068258247,954.02356,1
4169.94,38.19006,284.33548,-0.007439332,954.02356,1
4167.4517,34.190838,337.4008,-0.0051959315,954.02356,1
3375.6184,37.81919,301.46533,-0.004066047,1046.972,1
3834.514,37.459343,202.67735,0.0016425279,803.0907,1
3844.3132,43.55632,145.26996,0.009197512,823.8948,1
3408.3076,42.79698,46.799164,-0.00031651626,1241.5752,1
4471.148,23.662384,40.151093,-0.0037404853,860.8707,1
3640.9976,33.35931,175.00659,-0.004579194,920.2217,1
4509.2734,25.931252,97.07117,-0.019241702,776.844,1
4350.365,52.81581,96.7688,0.007981911,860.8707,1
4435.676,39.150486,108.835205,-0.00751873,860.8707,1
3835.4143,35.206867,153.70325,0.0064762123,803.0907,1
2115.4192,47.05041,316.5132,0.0005360466,1188.5122,1
3077.6128,42.689335,330.01553,0.0067556165,1046.972,1
3590.2354,36.085697,330.55173,-0.016846541,1170.0247,1
3616.986,28.517166,14.104218,-0.01319737,1170.0247,1
4073.8066,38.97044,333.17065,-0.0063309837,860.8707,1
3858.0913,38.28933,6.313202,0.004399937,954.02356,1
3639.75,42.388046,57.069275,0.0028261836,954.02356,1
3614.3972,32.139065,89.51129,0.0052699456,1046.972,1
3575.767,38.341526,340.24127,-0.015468482,1170.0247,1
2681.8833,47.32577,327.42715,0.00019239448,1336.9879,1
2186.9922,40.283493,271.18845,6.8487134e-05,1336.9879,1
2567.9805,51.582947,36.226593,-0.005590841,1170.0247,1
2680.0645,42.35628,47.65808,0.0006826394,1170.0247,1
2885.7388,33.538437,293.0055,-0.0013194069,1241.5752,1
3146.6892,55.269775,26.877441,-0.0146423355,1241.5752,1
3773.3547,36.537453,136.8162,0.0021049199,803.0907,1
2375.4155,32.83136,328.82074,-0.0093741845,1188.5122,1
2301.4912,35.468376,332.72186,-0.007601001,1188.5122,1
1561.9498,43.922813,331.69275,-0.0048410073,1188.5122,1
1597.6023,39.648087,283.27444,-0.010240497,1188.5122,1
1676.6577,48.132248,358.07797,0.012030551,1188.5122,1
2035.4865,43.46781,318.65668,0.001247689,1188.5122,1
1898.0483,53.525753,325.76645,-0.016251123,1188.5122,1
1638.1699,50.21267,358.27512,-0.013538942,1188.5122,1
2111.4915,50.400757,290.10062,-0.0037172623,1068.889,1
2045.2394,44.400837,76.99524,-0.0022113477,1068.889,1
2619.3955,32.293278,333.37656,-0.00077926787,1241.5752,1
2911.6055,44.817577,293.92358,-0.011211405,1068.889,1
2907.6138,36.57216,325.40442,-0.016117811,1068.889,1
3098.3604,51.837242,48.968628,-0.0132954335,1241.5752,1
2363.777,46.614033,307.24756,-0.00015183428,1241.5752,1
3625.448,41.63156,60.61499,-0.0015693039,954.02356,1
2256.1438,36.5481,273.30185,-0.009691133,1188.5122,1
3659.5984,20.85887,71.50076,-0.006111957,1241.5752,1
2172.1858,38.005066,274.89368,0.004094332,1241.5752,1
3433.0046,39.470856,77.20978,0.020151984,1241.5752,1
2919.999,44.82167,80.93445,0.0057986705,975.15594,1
2996.6748,32.688686,99.83716,-0.005457386,975.15594,1
2735.2212,41.442204,87.072266,0.0026122523,975.15594,1
3528.2786,32.45358,58.221466,-0.02404588,823.8948,1
1961.7898,66.52255,302.34766,0.0013731421,1068.889,1
1384.3096,29.61436,282.21954,-0.006105137,1480.1051,1
2036.6566,62.020245,302.3532,0.0051378896,1068.889,1
1949.9446,57.70237,300.06708,0.016717501,1068.889,1
1861.5685,40.871273,338.29214,0.0010925902,1188.5122,1
1798.725,61.61034,283.44565,0.029980808,1188.5122,1
2878.0608,45.30981,6.078827,-0.004252411,1241.5752,1
2107.6687,57.324265,306.71582,-0.018602567,1068.889,1
1987.4006,59.89969,312.0634,0.0038417801,1068.889,1
1935.7874,52.211647,283.31027,0.004290746,1068.889,1
2018.3601,54.41658,276.1525,-0.0057173683,1068.889,1
2097.5137,62.80075,306.0392,-0.019221243,1068.889,1
1982.1135,50.463158,274.54608,0.0012105028,1068.889,1
2377.909,48.654385,99.30713,-0.00620234,1068.889,1
4167.853,22.838428,282.43503,-0.0219915,1027.1553,1
4372.3096,27.508781,107.7952,0.00016353419,803.0907,1
4577.768,48.20321,154.5091,0.0009201884,776.844,1
4608.871,36.959427,158.99597,-0.009592279,776.844,1
4612.8604,44.517834,135.61545,-0.0005260678,776.844,1
4502.3647,49.56721,117.028076,-0.018236084,860.8707,1
4510.744,36.60804,270.12592,-0.013305484,776.844,1
4653.8384,21.904242,4.875,-0.018210385,776.844,1
4697.444,22.34274,328.49014,-0.027523693,776.844,1
4551.479,24.958977,338.23956,-0.008659886,776.844,1
4440.532,32.814552,12.380096,0.0011216284,803.0907,1
4624.4863,42.152954,144.64911,0.002163859,776.844,1
4608.6543,44.96398,135.13245,0.0059767067,776.844,1
4679.6177,40.127003,5.829132,-0.0055733975,776.844,1
4657.272,47.754993,28.64682,-0.008846681,776.844,1
4656.3286,38.40598,51.132843,-0.006652527,776.844,1
4521.9834,36.82667,66.47449,-0.007999429,803.0907,1
4517.456,43.452194,50.174255,0.007938982,803.0907,1
4518.439,48.552425,43.966125,0.00058177696,803.0907,1
4548.247,33.568375,54.10205,-0.0032474399,803.0907,1
4458.9443,31.151255,10.078186,0.011461373,803.0907,1
4425.0737,37.59111,195.71,0.0018296088,803.0907,1
4508.9067,39.51681,186.33333,0.0030501646,803.0907,1
4621.6025,22.962963,163.44043,-0.018805083,803.0907,1
4562.6094,45.308067,132.80869,-0.0075135627,803.0907,1
4507.698,38.44438,178.52167,-0.0011692964,803.0907,1
4582.6895,48.996696,178.80078,0.0018230067,803.0907,1
4417.8555,47.699715,185.80048,0.0046520606,803.0907,1
4334.7485,45.554596,148.58887,-0.004047311,803.0907,1
4443.614,47.360844,78.672485,-0.025014818,803.0907,1
4370.1914,38.408726,358.72498,0.0105173495,803.0907,1
4320.662,33.43739,27.954834,-0.007924194,803.0907,1
4295.4507,37.49976,108.73309,0.0049406504,903.9801,1
4354.5522,44.238163,98.656006,-0.0069047934,903.9801,1
4078.403,54.357407,327.77808,0.008267992,860.8707,1
4144.2334,25.252375,133.02689,-0.0011237827,860.8707,1
4302.768,47.25301,358.85724,-0.013413167,813.599,1
4452.9834,36.007725,90.62778,-0.00915451,813.599,1
4624.7163,42.661407,40.50186,-0.010860071,813.599,1
4273.5884,40.938442,115.90808,0.008748187,954.02356,1
4157.2617,23.400108,319.94547,-0.017121922,1046.972,1
4617.131,28.50792,44.63089,-0.012777836,776.844,1
1361.8955,36.41398,307.55725,-0.012124773,1427.8234,1
2304.7886,44.629887,328.64304,-0.021693218,1291.1206,1
1698.5607,30.938623,23.229767,-0.006190278,1370.887,1
800.7298,39.54764,32.884552,0.0025487007,1920.4183,1
1058.6532,40.53687,48.186737,-0.013934264,1947.0795,1
3574.0396,43.485466,14.471069,-0.013312018,893.4297,1
2208.6116,40.891342,41.236298,-0.0008692187,1263.7323,1
1284.2355,49.08461,307.3598,-0.021219376,1471.1849,1
1530.1212,23.84218,318.5601,0.0075623426,1281.8698,1
933.9175,39.914604,282.44263,-0.0069738,1471.1849,1
1300.9478,34.567608,23.674347,0.0022157985,1331.6455,1
1422.317,36.922256,5.492676,-0.0020416388,1331.6455,1
1546.1805,35.75843,12.833191,-0.002619538,1331.6455,1
1157.31,38.266968,10.335541,-0.0018362142,1003.40466,1
974.84686,40.03252,30.99118,-0.0040426254,1947.0795,1
3547.2534,45.356285,340.58078,-0.024286374,893.4297,1
2006.6991,55.915096,322.53546,0.012403244,1440.9951,1
3251.6462,40.889263,311.3222,-0.006108727,1253.1542,1
3815.813,38.181355,28.58664,0.0073884334,823.8948,1
3795.31,42.36042,259.24384,0.001955958,1335.8142,1
2607.7107,48.582752,321.84766,-0.00892292,1378.5575,1
2402.507,39.5884,0.66922,0.012296564,1378.5575,1
3468.969,45.735344,6.2674866,-0.0030545432,1332.1096,1
3002.75,41.480885,302.27545,0.015162159,1332.1096,1
4111.1807,28.345749,333.97583,-0.006496745,1313.4995,1
3944.6704,44.761948,17.6026,0.011655346,1351.0236,1
3942.7932,38.719334,283.87274,-0.0043820622,1351.0236,1
3929.065,32.381416,345.24332,0.0070430585,1277.0735,1
3683.7886,37.156242,354.3814,0.0040399157,1205.8372,1
3699.6208,38.885586,200.0656,0.0038206726,823.8948,1
3342.0586,42.263313,252.48433,-0.009092055,892.8594,1
3500.0251,40.742035,330.599,0.009003683,892.8594,1
3486.2668,34.774475,140.58826,0.010267238,892.8594,1
3362.9573,24.88044,113.89276,-0.01389925,892.8594,1
3390.1428,23.45956,196.0864,0.014673132,823.8948,1
4245.5107,28.522058,37.578766,0.003916224,1282.9138,1
4418.2515,38.81703,205.2641,0.012987172,1282.9138,1
3075.677,56.188637,247.3083,-0.0052281646,1253.1542,1
2247.082,47.844395,324.43823,-0.0064327815,804.7158,1
4528.4683,36.318302,18.134033,0.008759672,803.0907,1
4431.7544,32.259785,94.664215,-0.008672664,803.0907,1
4510.3745,42.383736,79.14996,-0.008584363,803.0907,1
4535.262,42.552284,70.50256,0.01006465,803.0907,1
4580.6445,36.31676,95.6568,-0.012751993,803.0907,1
4544.1997,38.435333,107.7695,-0.010092361,803.0907,1
4520.2363,42.057163,110.5477,-0.0041422145,803.0907,1
4494.933,41.52177,109.96417,0.0011780551,803.0907,1
4576.2124,46.439518,110.621124,0.009819562,803.0907,1
4575.632,45.362503,86.47247,-0.0038033724,803.0907,1
4578.2354,37.08153,61.644287,-0.00704952,803.0907,1
1289.256,40.194675,359.73923,-0.0009638013,1679.7147,1
1410.1536,55.968826,323.7413,-0.00055162725,1542.8253,1
3574.3962,51.98724,4.8723755,-0.0010830783,893.4297,1
2045.3499,46.36081,319.81485,-0.002737524,1081.4683,1
1997.1816,33.736057,304.80994,-0.0012901893,1218.4669,1
3799.417,38.914375,340.48007,0.0075925295,1046.972,1
1987.7518,37.2381,245.84497,-0.0058385134,1218.4669,1
4527.413,45.654213,275.37494,0.0021006844,776.844,1
2815.48,25.432653,18.433502,-0.0048168143,1090.2336,0
1832.1747,64.32835,170.26245,0.011025616,1122.1057,0
3983.3083,20.75292,226.03046,-0.0007135093,1335.8142,0
1484.9904,36.241245,141.43555,0.0024138996,1133.0066,0
914.8297,53.481236,355.60272,0.008876652,1331.6455,0
1650.098,38.283974,243.91525,-0.0045931577,1542.5223,0
954.89624,28.0925,219.7943,0.008261979,1638.3939,0
603.69336,35.012615,108.00745,-0.0062300856,1422.5267,0
2184.1704,35.569256,78.40082,0.004892336,1081.7223,0
1634.9904,42.37524,202.40402,-0.0091053005,1351.1592,0
640.3829,21.79158,244.91098,0.0064218333,1638.3939,0
1557.9432,42.33469,67.24469,0.007113914,1327.5286,0
4240.3184,13.68669,277.19537,-0.016061027,1282.9138,0
1801.7312,32.721375,219.44388,0.0020663338,1291.1206,0
980.0708,21.850113,135.07623,-0.0036245992,1331.6455,0
354.29977,23.760143,324.9105,-0.006701513,1692.1498,0
1685.5142,26.633993,179.51855,0.0019794332,965.5271,0
1391.1785,37.42684,350.1842,0.00167451,1542.8253,0
1824.763,22.26295,60.264893,0.0035523986,1318.6259,0
955.7028,34.764248,187.62874,-0.003037654,1370.887,0
2501.1868,38.697945,193.9709,0.0030888575,1296.4968,0
2050.1516,34.84829,145.60223,-0.014861437,1081.4683,0
1272.6522,26.591627,244.14194,-0.0009760407,1648.9937,0
3623.1216,28.265081,162.4873,0.019278385,1083.2122,0
1577.5406,19.295849,190.39738,-0.004766311,1530.3221,0
1960.0651,28.130768,101.901306,0.007494718,975.15594,0
3189.7148,35.132,303.90262,-0.005842533,1347.7986,0
2654.1702,36.73764,17.444977,0.003025181,1122.1057,0
2551.568,33.35324,273.32434,-0.0026412548,1188.5122,0
1572.5212,38.785088,20.674347,0.0040975627,1409.8704,0
1196.4683,19.72365,134.47012,-0.00085324614,1331.6455,0
2895.8813,16.055285,192.25624,-0.0009934856,1166.9475,0
2022.6637,27.549313,23.52597,0.0033987341,1070.56,0
3580.6152,15.631946,104.997894,-0.0052140937,1027.1553,0
3380.9116,26.111797,129.19388,0.017018259,823.8948,0
1070.9182,38.17827,351.69495,-0.004313396,1471.1849,0
3882.453,37.32192,175.70929,0.004005314,823.8948,0
1969.32,33.363422,321.6229,-0.0014077434,1686.6528,0
1670.6082,16.040907,123.55817,0.01634732,1218.4669,0
772.0496,21.327452,206.22217,-0.005679627,1125.7721,0
3263.6514,39.8585,274.26373,-0.0005994371,1090.2336,0
929.34515,23.737183,261.14978,0.008400153,1533.5342,0
1420.1719,19.18546,187.00246,-0.002024014,1244.5851,0
1672.2671,18.338715,162.11194,0.00151277,1365.362,0
1706.7201,26.827145,9.811066,0.00032768026,1081.4683,0
2726.4045,26.810606,222.51698,0.012049036,1291.1206,0
2506.493,31.224161,201.65784,-0.0013580299,1184.2207,0
999.4106,17.7257,149.32019,0.0012932762,1244.5851,0
3699.172,34.225174,0.25634766,0.00044774642,1335.8142,0
461.2235,32.804535,168.19043,-0.0027109352,1679.7147,0
338.8678,6.673905,238.69217,-0.0035430745,1646.8691,0
1037.4279,27.769783,196.39532,0.0029607506,1638.3939,0
1866.1025,27.05751,233.58154,0.005633664,1291.1206,0
2820.6467,24.901789,11.637054,-0.0046044625,1068.889,0
718.393,16.19457,257.93243,0.002442543,1569.941,0
3341.8066,47.020607,180.56754,-0.0013166064,1351.0236,0
3888.1624,22.034996,335.93005,0.005207633,1027.1553,0
1447.1741,30.457298,90.69202,-0.0032797083,1530.3221,0
3386.4612,33.113525,72.26123,0.004562826,1205.8372,0
2815.495,41.46078,327.97925,0.01122648,1378.5575,0
1608.689,37.12892,212.69707,-0.008407908,1172.1522,0
628.18884,32.1349,311.5491,0.0035991862,1584.2975,0
939.79504,25.155046,220.29842,-0.0003779502,1522.5592,0
1845.639,21.318697,56.794403,0.006258191,1281.8698,0
1536.5596,23.908897,358.1609,0.00750283,996.04,0
1436.8973,27.03552,97.8598,0.010455468,1186.2649,0
3130.594,28.806683,93.976074,0.011889379,1046.972,0
3870.7532,10.013067,30.93277,0.003851614,1027.1553,0
2072.55,39.16211,329.43152,-0.0036195214,1424.1086,0
2298.3792,30.424547,163.1825,0.0053042616,1316.7269,0
967.47266,35.672775,199.62103,0.0005221927,1638.3939,0
2315.64,44.272682,281.2591,0.02135976,1218.4669,0
4316.237,25.748726,44.829803,0.0039758086,1282.9138,0
2579.0374,36.79844,287.77756,0.0025428315,1056.131,0
726.6495,34.888794,125.39288,0.00018376135,1422.5267,0
1609.492,40.07218,142.03735,0.0012105391,1336.9879,0
1871.2565,31.525726,315.94348,0.0017301107,1351.1592,0
323.37656,19.692373,114.28125,0.0046541863,1904.153,0
1365.3436,22.216436,118.07715,-0.00447912,1365.362,0
1896.797,43.4356,99.01901,-0.012869618,1081.4683,0
1596.4049,40.364204,83.543,0.0047483286,1542.8253,0
3631.0903,48.01497,189.47795,-0.017191915,823.8948,0
1854.1957,22.724691,140.82349,0.0017078205,1226.2421,0
3143.7144,36.76203,111.371704,-0.0012486225,920.2217,0
2054.3643,25.545843,121.51636,0.010418102,996.04,0
2654.6636,23.139832,75.77112,-0.00029210874,1336.9879,0
1121.7478,29.368542,134.83679,-0.004250221,1920.4183,0
692.60345,14.253081,242.39566,-0.0045634536,1256.2645,0
1143.0654,60.02207,317.24628,-0.002737848,1331.6455,0
2032.3821,37.595078,301.9038,-0.011635065,1318.6259,0
1447.4307,23.266335,223.13126,-0.0053700553,1365.362,0
1430.6357,36.81313,121.685974,0.008580416,1522.5592,0
2158.6428,32.02523,80.48288,-0.008617315,1172.1522,0
338.5,4.0128117,67.04266,0.010728579,1533.5342,0
1230.9578,43.92106,319.44867,-0.0066934824,1318.6259,0
1016.67395,34.300766,349.75156,-0.0066037634,1947.0795,0
3750.8328,37.890823,158.98639,0.0054768412,903.9801,0
1887.336,23.78738,65.47525,0.008253813,1686.6528,0
1333.0015,23.008614,128.76947,0.0030332573,1172.1522,0
822.83234,27.806295,207.80353,-0.002536999,1462.1245,0
2212.8809,22.086838,86.010315,-0.0053140246,1307.391,0
2572.0132,29.611887,294.4418,-0.0029930915,1542.5223,0
1770.3235,47.42849,40.788483,0.008286333,1128.6737,0
3820.1655,18.82049,144.76224,-0.0007487573,903.9801,0
881.37976,34.562466,328.2465,0.01210313,1904.2838,0
1705.2307,22.474022,117.975464,0.008731064,1409.8704,0
1327.6415,17.174604,317.89444,-0.0040496434,1440.9951,0
2771.1174,31.644156,90.52936,-0.0055975188,1263.7323,0
2680.5168,16.223833,209.44551,0.0010387842,1184.2207,0
1606.8933,53.11514,320.20563,0.0054349527,1071.5898,0
919.84015,18.934776,190.99568,-0.0013228348,1584.2975,0
2342.2305,39.546844,291.90454,-0.00968984,1378.5575,0
4009.2197,8.221909,229.63118,0.0038389792,1027.1553,0
2424.713,19.606537,137.31854,-0.003185485,1184.2207,0
836.7011,11.167887,255.5571,0.0043150466,1256.2645,0
2062.1577,40.701984,286.09247,0.0041753817,1170.0247,0
2884.2158,28.764902,317.12653,-0.019494614,1378.5575,0
1519.0525,40.128384,136.57965,0.0054745083,1318.6259,0
3140.4744,27.694246,236.07407,-0.0026641544,1347.7986,0
2137.4148,28.71588,335.7802,-0.003022381,1070.56,0
2960.9646,45.380455,158.72461,0.0042443713,892.8594,0
3341.31,48.516804,111.92047,-0.0028202233,892.8594,0
3475.794,39.016163,338.9263,-0.0017100098,1046.972,0
2056.1235,23.928127,130.58798,0.010366773,1128.6737,0
3385.197,34.478382,56.044586,0.0019578254,1176.2482,0
2792.6155,31.315462,173.83588,-0.0035243286,1241.5752,0
2915.247,38.214874,226.6605,-0.0037548426,975.15594,0
3061.875,32.02298,39.519775,0.0035577104,1277.0735,0
2133.195,31.033085,236.53873,0.00060180627,1071.5898,0
2434.8748,48.71719,217.44095,0.00010000216,1176.2482,0
2672.5356,33.511517,101.46301,0.0011217012,1176.2482,0
3910.3362,14.389019,307.45334,-0.0069091,1027.1553,0
1093.4648,22.560236,355.26447,0.002972452,1363.3123,0
945.7929,38.14869,127.88074,0.005713151,1530.3221,0
1609.8,25.951477,8.662689,-0.0141068995,1081.4683,0
3856.72,37.228104,175.58826,-0.0006969974,823.8948,0
3174.933,35.94448,316.82495,0.0074550537,1081.7223,0
1309.0452,21.466026,292.15936,0.007061257,1648.9937,0
2587.0984,49.95659,303.39297,-0.0029840479,1296.4968,0
3186.7585,38.266468,271.84738,-0.0062798704,1378.5575,0
4024.2173,27.190561,191.25024,0.008178039,1335.8142,0
2142.1768,26.236408,180.16548,-0.0097843865,1427.8234,0
1315.9901,34.547695,125.98657,-0.009856999,1920.4183,0
2953.4717,35.801888,282.2887,0.00014487002,1068.889,0
3299.4336,30.712843,207.81546,0.0031055128,1056.131,0
2560.772,35.98238,308.3416,0.00911912,1347.7986,0
2242.201,41.39886,130.82422,-0.012166555,1122.1057,0
2778.6401,22.916838,79.32376,0.0010697254,1114.5159,0
2855.1462,42.88001,87.65155,0.0019413142,1196.8555,0
4541.7515,54.094448,259.01486,-0.010380091,1179.2651,0
3709.9573,14.0181675,185.7019,0.00425198,1351.0236,0
1125.1427,45.74873,20.078827,-0.02120534,1036.611,0
3709.3357,33.98695,201.5588,-0.00060532324,954.02356,0
1780.0718,16.393438,197.35715,-0.004091604,1133.0066,0
1476.7654,21.456804,305.6739,0.0070452476,1166.9475,0
1783.7987,27.949928,196.38934,0.00556288,1036.611,0
1483.1005,30.580692,266.99615,0.0025284744,1256.2645,0
677.44904,49.287308,179.77234,-0.009306325,1542.5223,0
1589.6187,19.056366,125.072815,0.009917016,1186.2649,0
2649.5735,43.160465,335.34186,-0.0010106432,1196.8555,0
858.27014,26.672707,202.4573,-0.019492012,1584.2975,0
884.9365,10.378904,125.00464,-0.008605542,1363.3123,0
1949.0514,19.47088,203.01723,0.008020822,1128.6737,0
840.8858,31.701204,157.38342,0.0017149989,1363.3123,0
2030.8715,37.332844,179.55511,0.0012250766,1241.5752,0
2332.8557,12.962756,60.15793,-0.008000003,1542.5223,0
4036.3228,32.14031,265.98303,0.0064939456,1335.8142,0
2311.2207,24.934828,120.94949,0.0004402086,1336.9879,0
1596.1001,22.701162,305.24533,-0.0018823023,1686.6528,0
4114.149,35.20323,109.03995,0.004794704,954.02356,0
2548.887,28.569708,200.4021,-4.9390364e-05,1291.1206,0
1476.0481,37.64053,266.79172,0.0008021678,1524.9106,0
3356.192,19.859135,126.721405,-0.0034282752,1347.7986,0
1629.5562,22.295256,218.93257,-0.0053773774,1071.5898,0
1197.7806,14.232519,186.09322,0.00013223541,1071.5898,0
1763.3406,16.43006,60.797913,0.004278542,1307.391,0
3328.9563,35.061832,337.88412,-0.005359108,1241.5752,0
2417.9055,39.29179,47.455017,0.014435513,1122.1057,0
2256.908,24.88442,122.97839,-0.010101836,1263.7323,0
1365.2913,31.47307,240.66425,-0.004893234,1427.8234,0
2555.8757,34.664665,253.86093,-0.008380627,1218.4669,0
1666.2844,29.41971,240.56337,0.004426032,1071.5898,0
2652.9365,11.477448,134.71765,0.006136078,1263.7323,0
3299.3306,37.956944,31.408997,4.214025e-05,1277.0735,0
1004.1718,43.197483,3.4231567,0.0072803022,1533.5342,0
